api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:53946 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53946 - "POST /usuarios HTTP/1.1" 201 Created
api-1  | INFO:     172.18.0.1:53946 - "GET /usuarios/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53946 - "PUT /usuarios/10 HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.18.0.1:53946 - "DELETE /usuarios/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53946 - "GET /usuarios/busca/?nome= HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53946 - "GET /produtos HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53946 - "POST /produtos HTTP/1.1" 201 Created
api-1  | INFO:     172.18.0.1:53946 - "GET /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53946 - "PUT /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53946 - "DELETE /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53946 - "GET /produtos/busca/?nome=&categoria= HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42356 - "GET /1500114107118233000 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:42356 - "GET /produtos/1762514583231491521 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:42356 - "GET /usuarios/6114057515702775369 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:42356 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:42384 - "PUT /usuarios/10 HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.18.0.1:42394 - "PUT /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:42442 - "PUT /usuarios/12-2 HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.18.0.1:42372 - "POST /usuarios HTTP/1.1" 500 Internal Server Error
