ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
16,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/1500114107118233000,404,Not Found,4,132,22
18,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/1762514583231491521,404,Not Found,5,132,36
20,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/6114057515702775369,404,Not Found,4,132,37
22,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000,404,Not Found,6,132,22
23,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10,422,Unprocessable Entity,10,144,125
24,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,26,132,36
25,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/12-2,422,Unprocessable Entity,15,144,125
26,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,32,132,36
27,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,POST,http://localhost:8000/usuarios,500,Internal Server Error,32,144,37
28,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10,404,Not Found,35,132,37
29,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/13-2,422,Unprocessable Entity,6,144,125
30,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=&categoria=,200,OK,37,125,86
31,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,12,144,156
32,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/20%2F2,404,Not Found,4,132,22
33,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/10,404,Not Found,32,132,37
34,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/10,404,Not Found,34,132,36
35,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/20%2F2,404,Not Found,5,132,22
36,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=,200,OK,47,125,58
37,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,14,144,156
38,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10,422,Unprocessable Entity,7,144,125
39,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,POST,http://localhost:8000/produtos,201,Created,50,130,84
40,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/12-2,422,Unprocessable Entity,16,144,156
41,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,POST,http://localhost:8000/usuarios,500,Internal Server Error,21,144,37
42,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+AND+1%3D1+--+,422,Unprocessable Entity,5,144,125
43,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/20%2F2,404,Not Found,9,132,22
44,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,14,144,156
45,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/12-2,422,Unprocessable Entity,20,144,156
46,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/20%2F2,404,Not Found,9,132,22
47,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,20,132,36
48,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+AND+1%3D2+--+,422,Unprocessable Entity,10,144,125
49,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/20%2F2,404,Not Found,7,132,22
50,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=&categoria=,200,OK,31,126,171
51,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/20%2F2,404,Not Found,6,132,22
52,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+OR+1%3D1+--+,422,Unprocessable Entity,4,144,125
53,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=,200,OK,35,125,58
54,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10%27+AND+%271%27%3D%271%27+--+,422,Unprocessable Entity,10,144,125
55,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10+AND+1%3D1+--+,422,Unprocessable Entity,17,144,166
56,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/10,404,Not Found,31,132,36
57,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/10,404,Not Found,28,132,37
58,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10%27+AND+%271%27%3D%272%27+--+,422,Unprocessable Entity,12,144,125
59,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10,404,Not Found,40,132,37
60,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,46,132,36
61,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10%27+AND+%271%27%3D%271%27+--+,422,Unprocessable Entity,17,144,171
62,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,POST,http://localhost:8000/usuarios,500,Internal Server Error,49,144,37
63,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=+AND+1%3D1+--+,200,OK,18,124,2
64,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=+AND+1%3D1+--+&categoria=,200,OK,35,124,2
65,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,POST,http://localhost:8000/produtos,201,Created,55,130,84
66,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10%27+OR+%271%27%3D%271%27+--+,422,Unprocessable Entity,14,144,125
67,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/10+AND+1%3D1+--+,422,Unprocessable Entity,21,144,166
68,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10+AND+1%3D1+--+,422,Unprocessable Entity,17,144,166
69,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/10+AND+1%3D1+--+,422,Unprocessable Entity,24,144,166
70,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10%22+AND+%221%22%3D%221%22+--+,422,Unprocessable Entity,16,144,176
71,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10+AND+1%3D1+--+,422,Unprocessable Entity,21,144,166
72,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+UNION+ALL+select+NULL+--+,422,Unprocessable Entity,12,144,125
73,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/produtos/10%27+AND+%271%27%3D%271%27+--+,422,Unprocessable Entity,10,144,171
74,Mon Jun 01 00:35:29 GMT-03:00 2026,Mon Jun 01 00:35:29 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=%27+AND+%271%27%3D%271%27+--+,200,OK,24,124,2
