api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:33740 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33740 - "POST /usuarios HTTP/1.1" 201 Created
api-1  | INFO:     172.18.0.1:33740 - "GET /usuarios/busca/?nome= HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33740 - "GET /usuarios/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:33740 - "PUT /usuarios/10 HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.18.0.1:33740 - "DELETE /usuarios/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:33740 - "GET /produtos HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33740 - "POST /produtos HTTP/1.1" 201 Created
api-1  | INFO:     172.18.0.1:33740 - "GET /produtos/busca/?nome=&categoria= HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33740 - "GET /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:33740 - "PUT /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:33740 - "DELETE /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53076 - "GET /2663916147144895401 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53076 - "GET /produtos/8345949293016532794 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53076 - "GET /usuarios/3545895719520180665 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53076 - "GET /usuarios/busca/?nome= HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53110 - "PUT /usuarios/10 HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.18.0.1:53130 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53094 - "PUT /produtos/10 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:53092 - "DELETE /produtos/10 HTTP/1.1" 404 Not Found
