api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - POST /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - PUT /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/busca/?nome=nome&categoria=categoria HTTP/1.1
api-1  | 172.18.0.1 - GET /8662523340197452770 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/1488758824929274155 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/6325628953467775652 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome HTTP/1.1
api-1  | 172.18.0.1 - GET / HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/busca/?nome=nome&categoria=categoria HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/12-2 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/12-2 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/20%2F2 HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/12-2 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome+AND+1%3D1+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/20%2F2 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/12-2 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/12-2 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10 HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/20%2F2 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome+AND+1%3D2+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/20%2F2 HTTP/1.1
