ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
1345,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/8662523340197452770,404,Not Found,3,167,34
1347,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/produtos/1488758824929274155,404,Not Found,4,167,37
1349,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/6325628953467775652,404,Not Found,2,167,38
1351,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,5,167,37
1352,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=nome,200,OK,6,159,2
1353,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000,404,Not Found,5,167,34
1354,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10,404,Not Found,6,167,38
1355,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=nome&categoria=categoria,200,OK,7,159,2
1356,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,POST,http://localhost:8000/produtos,201,Created,15,165,93
1357,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,16,167,37
1358,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/12-2,404,Not Found,12,167,34
1359,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=nome,200,OK,12,159,2
1360,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/12-2,404,Not Found,12,167,34
1361,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/produtos/10,404,Not Found,12,167,37
1362,Mon Jun 01 00:54:44 GMT-03:00 2026,Mon Jun 01 00:54:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/10,404,Not Found,13,167,38
