ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
2126,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000/4117580400219891754,404,Not Found,3,167,34
2128,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000/produtos/8425942503622875672,404,Not Found,2,167,37
2130,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/2045308187480915622,404,Not Found,3,167,38
2132,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,5,167,37
2133,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,6,167,37
2134,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=nome&categoria=categoria,200,OK,6,159,2
2135,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=nome,200,OK,7,159,2
2136,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,POST,http://localhost:8000/produtos,201,Created,13,165,93
2137,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10,404,Not Found,14,167,38
2138,Mon Jun 01 00:58:44 GMT-03:00 2026,Mon Jun 01 00:58:44 GMT-03:00 2026,GET,http://localhost:8000,404,Not Found,13,167,34
