ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
5368,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/7865196777248111715,404,NOT FOUND,5,182,205
5370,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/books/155493823654377799,404,NOT FOUND,4,182,205
5372,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/books/v1/2821268071219746793,401,UNAUTHORIZED,3,185,119
5374,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/users/5374797408783953086,404,NOT FOUND,4,182,205
5376,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/users/v1/3058750203354200713,404,NOT FOUND,4,173,48
5378,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/users/v1/name1/8051879540193105473,404,NOT FOUND,3,182,205
5380,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002,200,OK,3,167,271
5381,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/users/v1/register,200,OK,13,166,69
5382,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,PUT,http://localhost:5002/users/v1/name1/email,401,UNAUTHORIZED,14,185,119
5383,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/books/v1,401,UNAUTHORIZED,15,185,119
5384,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/users/v1/login,200,OK,16,166,81
5385,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,DELETE,http://localhost:5002/users/v1/name1,401,UNAUTHORIZED,18,185,119
5386,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,PUT,http://localhost:5002/users/v1/name1/password,401,UNAUTHORIZED,19,185,119
5387,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,GET,http://localhost:5002/books,404,NOT FOUND,18,182,205
5388,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,PUT,http://localhost:5002/users/v1/name1/email,401,UNAUTHORIZED,12,185,119
5389,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/books/v1,401,UNAUTHORIZED,12,185,119
5390,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/users/v1/register,200,OK,18,166,69
5391,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,DELETE,http://localhost:5002/users/v1/name1,401,UNAUTHORIZED,15,185,119
5392,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,POST,http://localhost:5002/users/v1/login,200,OK,19,166,81
5393,Mon Jun 01 01:23:29 GMT-03:00 2026,Mon Jun 01 01:23:29 GMT-03:00 2026,PUT,http://localhost:5002/users/v1/name1/password,401,UNAUTHORIZED,20,185,119
