ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
692,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/2663916147144895401,404,Not Found,4,132,22
694,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/produtos/8345949293016532794,404,Not Found,4,132,36
696,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/usuarios/3545895719520180665,404,Not Found,2,132,37
698,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=,200,OK,5,125,58
699,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10,422,Unprocessable Entity,7,144,125
700,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000,404,Not Found,8,132,22
701,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,11,132,36
702,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,12,132,36
703,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/12-2,422,Unprocessable Entity,6,144,125
704,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=&categoria=,200,OK,15,125,86
705,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,6,144,156
706,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,6,144,156
707,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/13-2,422,Unprocessable Entity,5,144,125
708,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/produtos/20%2F2,404,Not Found,3,132,22
709,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/20%2F2,404,Not Found,4,132,22
710,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/20%2F2,404,Not Found,3,132,22
711,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10,422,Unprocessable Entity,4,144,125
712,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,POST,http://localhost:8000/produtos,201,Created,27,130,84
713,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10,404,Not Found,8,132,36
714,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10,404,Not Found,8,132,36
715,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+AND+1%3D1+--+,422,Unprocessable Entity,3,144,125
716,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/usuarios/10,404,Not Found,20,132,37
717,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/produtos/10,404,Not Found,21,132,36
718,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/produtos/10+AND+1%3D1+--+,422,Unprocessable Entity,4,144,166
719,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/produtos/10+AND+1%3D1+--+,422,Unprocessable Entity,5,144,166
720,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,POST,http://localhost:8000/usuarios,500,Internal Server Error,35,144,37
721,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/produtos/busca/?nome=&categoria=,200,OK,21,126,171
722,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,DELETE,http://localhost:8000/usuarios/10,404,Not Found,37,132,37
723,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/usuarios/busca/?nome=,200,OK,32,125,58
724,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,PUT,http://localhost:8000/usuarios/10+AND+1%3D2+--+,422,Unprocessable Entity,9,144,125
725,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/usuarios/12-2,422,Unprocessable Entity,8,144,156
726,Mon Jun 01 00:43:25 GMT-03:00 2026,Mon Jun 01 00:43:25 GMT-03:00 2026,GET,http://localhost:8000/produtos/12-2,422,Unprocessable Entity,7,144,156
